"Comment","Designator","Footprint","LCSC"
"100k","R4","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R5","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R6","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R7","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R8","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R9","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R10","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R11","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R12","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R13","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R14","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R15","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R16","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R17","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R18","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R19","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R20","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R21","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R22","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R23","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"100k","R24","tom-passives:R_0402_1005Metric","","","","","","","C25741","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","","",""
"5.1k","R25","tom-passives:R_0402_1005Metric","","","","","","","C25905","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","","",""
"5.1k","R26","tom-passives:R_0402_1005Metric","","","","","","","C25905","UNI-ROYAL(Uniroyal Elec)","0402WGF5101TCE","","",""
"SN74LVC1T45DBV","U1","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U2","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U3","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U4","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U5","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U6","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U7","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
"SN74LVC1T45DBV","U8","tom-semiconductors:SOT-23-6","","","","","","","C7843","","","","",""
